category,name,age,title
"sports","Coco Gauff","21","TENNIS PLAYER, WTA TOUR"
"sports","NiJaree Canady","22","PITCHER, TEXAS TECH UNIVERSITY"
"sports","Josh Allen","29","QUARTERBACK, BUFFALO BILLS"
"sports","Saquon Barkley","28","RUNNING BACK, PHILADELPHIA EAGLES"
"sports","Aliyah Boston","23","CENTER, INDIANA FEVER"
"sports","Dorian Branch","27","DIRECTOR OF WOMEN'S BASKETBALL, LIFT SPORTS MANAGEMENT"
"sports","Paige Bueckers","24","GUARD, DALLAS WINGS"
"sports","Katie Calderon","25","FOUNDER, CLUB GIRL GOLF"
"sports","Molly Carlson","27","HIGH DIVER, CANADIAN NATIONAL TEAM"
"sports","Declan Doyle","29","OFFENSIVE COORDINATOR, CHICAGO BEARS"
"sports","Shai Gilgeous-Alexander","27","GUARD, OKLAHOMA CITY THUNDER"
"sports","Gabe Madonna, Matt Spettel","28, 27","COFOUNDERS, TRAINWELL"
"sports","Alex Goodman","28","DIRECTOR OF BASEBALL CARDS, MEMORABILIA AND EQUIPMENT, MLB PLAYERS INC."
"sports","Bernadette Grant","28","SENIOR MANAGER OF DOMESTIC MEDIA DISTRIBUTION STRATEGY, NBA"
"sports","Johnna Hayward","28","SENIOR DIRECTOR OF BRAND MARKETING, EXCEL SPORTS MANAGEMENT"
"sports","Jalen Hurts","27","QUARTERBACK, PHILADELPHIA EAGLES"
"sports","Ilia Malinin","21","FIGURE SKATER, TEAM USA"
"sports","Hallie Martin","26","COFOUNDER, WOMEN'S ELITE RUGBY"
"sports","Auston Matthews","28","CENTER, TORONTO MAPLE LEAFS"
"sports","Abigail McCulloch","29","FOUNDER, ALMA PADEL"
"sports","Akshat Prakash","27","COFOUNDER, CAMB.AI"
"sports","Zayne M. Thomajan","27","GENERAL MANAGER, CHICAGO FIRE FC"
"sports","Antyush Bollini, Andrew Buckingham, Nick Durand, Jerred Mace","26, 25, 28, 25","COFOUNDERS, ONECOURT"
"sports","Brooke Raboutou","24","ROCK CLIMBER, TEAM USA"
"sports","Trinity Rodman","23","FORWARD, WASHINGTON SPIRIT"
"sports","Juan Soto","27","RIGHT FIELDER, NEW YORK METS"
"sports","Kyle Sulkar","28","FOUNDER, CPX PICKLEBALL"
"sports","Zechariah Thomas","22","FOUNDER, SWIFT HOCKEY"
